127.0.0.1 - - [15/Mar/2023:17:06:33 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:34 +0700] "GET /Highlands/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/home/index.htm HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/fonts/icomoon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /Highlands/resources/account/images/bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:35 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:59 +0700] "POST /Highlands/login/logininfo.htm HTTP/1.1" 200 6009
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:59 +0700] "GET /Highlands/resources/quanly/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:59 +0700] "GET /Highlands/resources/quanly/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:59 +0700] "GET /Highlands/resources/quanly/assets/demo/chart-area-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:59 +0700] "GET /Highlands/resources/quanly/assets/demo/chart-bar-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:06:59 +0700] "GET /Highlands/resources/quanly/js/datatables-simple-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:07:06 +0700] "GET /Highlands/login/logout.htm HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:07:09 +0700] "POST /Highlands/login/logininfo.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:07:09 +0700] "GET /Highlands/account/admin.htm HTTP/1.1" 200 10983
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:07:20 +0700] "GET /Highlands/home/profile.htm HTTP/1.1" 200 5704
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:07:25 +0700] "POST /Highlands/home/profile/edit.htm HTTP/1.1" 200 6123
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:07:31 +0700] "GET /Highlands/home/profile/edit.htm HTTP/1.1" 200 6123
0:0:0:0:0:0:0:1 - - [15/Mar/2023:17:07:32 +0700] "GET /Highlands/account/admin.htm HTTP/1.1" 200 10983
