127.0.0.1 - - [03/Jun/2023:17:19:17 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:19 +0700] "GET /Highlands/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/home/index.htm HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/fonts/icomoon/style.css HTTP/1.1" 200 79820
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/css/style.css HTTP/1.1" 200 3274
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/js/popper.min.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/js/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /Highlands/resources/account/images/bg_1.jpg HTTP/1.1" 200 185184
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:20 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:22 +0700] "POST /Highlands/login/logininfo.htm HTTP/1.1" 200 6027
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:22 +0700] "GET /Highlands/resources/quanly/css/styles.css HTTP/1.1" 200 222222
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:22 +0700] "GET /Highlands/resources/quanly/js/scripts.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:22 +0700] "GET /Highlands/resources/quanly/assets/demo/chart-area-demo.js HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:22 +0700] "GET /Highlands/resources/quanly/assets/demo/chart-bar-demo.js HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:22 +0700] "GET /Highlands/resources/quanly/js/datatables-simple-demo.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [03/Jun/2023:17:19:30 +0700] "GET /Highlands/import/defineId.htm HTTP/1.1" 200 8841
